     Ensemble #      SOURCE        CHAN         OFFSET        FB_PICK
  1           1           1           1        3.20156        7.90979
  1           1           1           2        5.38516        13.6335
  1           1           1           3        7.76209        18.5032
  1           1           1           4         10.198        23.6247
  1           1           1           5         12.659        28.8743
  1           1           1           6        17.6139        32.7155
  1           1           1           7        22.5887        35.7884
  1           1           1           8        27.5726         38.368
  1           1           1           9        32.5615        41.1661
  1           1           1          10        37.5533        43.7268
  1           1           1          11         42.547        46.2876
  1           1           1          12        47.5421        49.1045
  1           1           1          13        52.5381        51.9213
  1           1           1          14        57.5348        54.3541
  1           1           1          15         62.532        57.5833
  1           1           1          16        67.5296        60.0363
  1           1           1          17        72.5276        62.8982
  1           1           1          18        77.5258        65.7496
  1           1           1          19        82.5242        67.3954
  1           1           1          20        87.5229        69.0307
  1           1           1          21        90.0222        70.7431
  1           1           1          22        92.5216        71.0749
  1           1           1          23         95.021        70.9992
  1           1           1          24        97.5205        71.2552
  1           1           1          25         100.02        72.2795
  1           1           1          26         102.52        73.4319
  1           1           1          27        105.019        74.4562
  1           1           1          28        107.519        75.3525
  1           1           1          29        110.018        75.7366
  1           1           1          30        115.017        76.5942
  1           1           1          31        120.017        77.8207
  1           1           1          32        125.016        80.0693
  1           1           1          33        130.015        81.5002
  1           1           1          34        135.015          83.34
  1           1           1          35        140.014        85.1797
  1           1           1          36        145.014        87.6327
  1           1           1          37        150.013         88.246
  1           1           1          38        155.013        89.6929
  1           1           1          39        160.012        91.3574
  1           1           1          40        165.012        92.1299
  1           1           1          41        170.012        93.4246
  1           1           1          42        175.011        94.1742
  1           1           1          43        180.011        95.8387
  1           1           1          44        185.011         96.863
  1           1           1          45        187.511        97.6313
  1           1           1          46        190.011        98.3995
  1           1           1          47         192.51        98.9117
  1           1           1          48         195.01        99.8079

  1           2           2           1       -96.2708        69.4395
  1           2           2           2       -93.7713        68.8263
  1           2           2           3       -91.2719        68.0086
  1           2           2           4       -88.7725        67.1909
  1           2           2           5       -86.2732        66.3733
  1           2           2           6       -81.2746        63.7158
  1           2           2           7       -76.2762        61.8761
  1           2           2           8       -71.2781        59.8319
  1           2           2           9       -66.2802        57.1745
  1           2           2          10       -61.2826         54.517
  1           2           2          11       -56.2855        51.2464
  1           2           2          12        -51.289        48.7934
  1           2           2          13       -46.2932        46.1359
  1           2           2          14       -41.2985        43.6829
  1           2           2          15       -36.3051        41.1022
  1           2           2          16       -31.3139         38.076
  1           2           2          17       -26.3261        35.0518
  1           2           2          18       -21.3439        32.0311
  1           2           2          19       -16.3726        28.7604
  1           2           2          20       -11.4264        22.3718
  1           2           2          21       -8.97566         17.313
  1           2           2          22        -6.5622        13.2247
  1           2           2          23          -4.25        8.11421
  1           2           2          24        -2.3585        3.20818
  1           2           2          25         2.3585        4.02586
  1           2           2          26           4.25         9.1363
  1           2           2          27         6.5622        13.8379
  1           2           2          28        8.97566        17.6784
  1           2           2          29        11.4264         22.219
  1           2           2          30        16.3726        29.7825
  1           2           2          31        21.3439        33.2576
  1           2           2          32        26.3261        36.4519
  1           2           2          33        31.3139        38.9863
  1           2           2          34        36.3051        40.9575
  1           2           2          35        41.2985        43.5858
  1           2           2          36        46.2932        46.1202
  1           2           2          37         51.289        48.1801
  1           2           2          38        56.2855        50.8374
  1           2           2          39        61.2826         53.495
  1           2           2          40        66.2802        56.4456
  1           2           2          41        71.2781        60.2003
  1           2           2          42        76.2762        62.7347
  1           2           2          43        81.2746        66.1139
  1           2           2          44        86.2732        67.3342
  1           2           2          45        88.7725        68.4606
  1           2           2          46        91.2719        69.3054
  1           2           2          47        93.7713        70.2572
  1           2           2          48        96.2708        70.6661

  1           3           3           1        -195.01         100.92
  1           3           3           2        -192.51        100.511
  1           3           3           3       -190.011        100.102
  1           3           3           4       -187.511        99.2845
  1           3           3           5       -185.011        98.4669
  1           3           3           6       -180.011        97.0359
  1           3           3           7       -175.011         95.605
  1           3           3           8       -170.012        94.3785
  1           3           3           9       -165.012        92.5387
  1           3           3          10       -160.012        90.4946
  1           3           3          11       -155.013        88.8592
  1           3           3          12       -150.013        87.2239
  1           3           3          13       -145.014        85.5885
  1           3           3          14       -140.014        84.7709
  1           3           3          15       -135.015          83.34
  1           3           3          16       -130.015        81.5002
  1           3           3          17       -125.016        80.0693
  1           3           3          18       -120.017        78.4339
  1           3           3          19       -115.017        76.7986
  1           3           3          20       -110.018        75.5721
  1           3           3          21       -107.519        74.7544
  1           3           3          22       -105.019        74.3966
  1           3           3          23        -102.52        73.5023
  1           3           3          24        -100.02        72.6079
  1           3           3          25       -97.5205        71.7136
  1           3           3          26        -95.021        70.8193
  1           3           3          27       -92.5216        70.4616
  1           3           3          28       -90.0222         69.644
  1           3           3          29       -87.5229        68.6219
  1           3           3          30       -82.5242        66.3733
  1           3           3          31       -77.5258        63.9203
  1           3           3          32       -72.5276        61.6717
  1           3           3          33       -67.5296        58.6054
  1           3           3          34        -62.532        55.5389
  1           3           3          35       -57.5348        53.2905
  1           3           3          36       -52.5381        50.4287
  1           3           3          37       -47.5421         47.158
  1           3           3          38        -42.547        44.0913
  1           3           3          39       -37.5533        41.4343
  1           3           3          40       -32.5615         38.368
  1           3           3          41       -27.5726        36.1194
  1           3           3          42       -22.5887        33.8708
  1           3           3          43       -17.6139         31.009
  1           3           3          44        -12.659        24.0588
  1           3           3          45        -10.198        19.5616
  1           3           3          46       -7.76209        15.0644
  1           3           3          47       -5.38516        10.7716
  1           3           3          48       -3.20156        5.45678
