     Ensemble #      SOURCE        CHAN         OFFSET        FB_PICK
  1           1           1           1        2.91548        7.90979
  1           1           1           2        5.22015         12.407
  1           1           1           3        7.64853        15.2688
  1           1           1           4        10.1119        18.3351
  1           1           1           5        12.5897        21.4014
  1           1           1           6        17.5642        27.7383
  1           1           1           7        22.5499        33.8708
  1           1           1           8        27.5409        40.6166
  1           1           1           9        32.5346        49.2022
  1           1           1          10          37.53        56.9701
  1           1           1          11        42.5265        62.6938
  1           1           1          12        47.5237         69.644
  1           1           1          13        52.5214        75.7765
  1           1           1          14        57.5196         81.909
  1           1           1          15         62.518        87.4283
  1           1           1          16        67.5167        92.7432
  1           1           1          17        72.5155        96.2183
  1           1           1          18        77.5145        99.4756
  1           1           1          19        82.5136         102.76
  1           1           1          20        87.5129        105.008
  1           1           1          21        90.0125        106.848
  1           1           1          22        92.5122         107.87
  1           1           1          23        95.0118        108.688
  1           1           1          24        97.5115        109.605
  1           1           1          25        100.011        110.113
  1           1           1          26        102.511        111.141
  1           1           1          27        105.011        111.958
  1           1           1          28         107.51        112.776
  1           1           1          29         110.01        113.389
  1           1           1          30         115.01        114.616
  1           1           1          31        120.009        115.842
  1           1           1          32        125.009        117.069
  1           1           1          33        130.009        118.704
  1           1           1          34        135.008        119.522
  1           1           1          35        140.008         120.34
  1           1           1          36        145.008        121.317
  1           1           1          37        150.007        122.715
  1           1           1          38        155.007        124.113
  1           1           1          39        160.007        125.246
  1           1           1          40        165.007        126.881
  1           1           1          41        170.007        128.306
  1           1           1          42        175.006        130.356
  1           1           1          43        180.006        132.196
  1           1           1          44        185.006        133.831
  1           1           1          45        187.506        134.444
  1           1           1          46        190.006        135.262
  1           1           1          47        192.506        136.169
  1           1           1          48        195.006        136.693

  1           2           2           1       -96.2617        109.435
  1           2           2           2        -93.762        107.656
  1           2           2           3       -91.2623        105.877
  1           2           2           4       -88.7627        104.097
  1           2           2           5        -86.263        102.318
  1           2           2           6       -81.2638        98.7595
  1           2           2           7       -76.2648         95.201
  1           2           2           8       -71.2658        91.6426
  1           2           2           9        -66.267        88.0843
  1           2           2          10       -61.2684        84.5261
  1           2           2          11         -56.27        80.9681
  1           2           2          12       -51.2719        77.4103
  1           2           2          13       -46.2743        73.8528
  1           2           2          14       -41.2773        69.8484
  1           2           2          15        -36.281        63.1026
  1           2           2          16        -31.286        53.9876
  1           2           2          17       -26.2928        44.4356
  1           2           2          18       -21.3029        37.4464
  1           2           2          19       -16.3191        30.9231
  1           2           2          20       -11.3496          23.65
  1           2           2          21       -8.87764        20.1749
  1           2           2          22       -6.42748        16.0865
  1           2           2          23       -4.03887        11.5893
  1           2           2          24       -1.95256        6.68329
  1           2           2          25        1.95256        6.27445
  1           2           2          26        4.03887        11.7937
  1           2           2          27        6.42748        17.7218
  1           2           2          28        8.87764        22.6279
  1           2           2          29        11.3496        27.3295
  1           2           2          30        16.3191        34.8929
  1           2           2          31        21.3029         42.252
  1           2           2          32        26.2928        48.5889
  1           2           2          33         31.286         53.495
  1           2           2          34         36.281        58.1966
  1           2           2          35        41.2773        62.0805
  1           2           2          36        46.2743        66.1689
  1           2           2          37        51.2719        70.0528
  1           2           2          38          56.27        73.5279
  1           2           2          39        61.2684        77.2074
  1           2           2          40         66.267        81.5339
  1           2           2          41        71.2658        85.8606
  1           2           2          42        76.2648        90.1874
  1           2           2          43        81.2638        94.5144
  1           2           2          44         86.263        98.8414
  1           2           2          45        88.7627        101.005
  1           2           2          46        91.2623        102.351
  1           2           2          47         93.762        104.191
  1           2           2          48        96.2617        105.826

  1           3           3           1       -195.004        130.356
  1           3           3           2       -192.504        129.947
  1           3           3           3       -190.004        128.925
  1           3           3           4       -187.505        128.312
  1           3           3           5       -185.005        127.085
  1           3           3           6       -180.005         125.45
  1           3           3           7       -175.005        124.019
  1           3           3           8       -170.005        122.793
  1           3           3           9       -165.005        121.362
  1           3           3          10       -160.005        119.931
  1           3           3          11       -155.005        118.909
  1           3           3          12       -150.006        117.682
  1           3           3          13       -145.006         116.34
  1           3           3          14       -140.006        115.638
  1           3           3          15       -135.006        115.025
  1           3           3          16       -130.007        114.207
  1           3           3          17       -125.007        113.594
  1           3           3          18       -120.007        113.594
  1           3           3          19       -115.007        112.776
  1           3           3          20       -110.008        110.528
  1           3           3          21       -107.508        109.301
  1           3           3          22       -105.008         107.87
  1           3           3          23       -102.508        106.439
  1           3           3          24       -100.008        105.213
  1           3           3          25       -97.5087        103.782
  1           3           3          26       -95.0089        102.351
  1           3           3          27       -92.5091        101.124
  1           3           3          28       -90.0094        99.2845
  1           3           3          29       -87.5097        96.8315
  1           3           3          30       -82.5102        92.4275
  1           3           3          31       -77.5109        88.5442
  1           3           3          32       -72.5117        84.6609
  1           3           3          33       -67.5125        80.7777
  1           3           3          34       -62.5135        76.8946
  1           3           3          35       -57.5147        73.0116
  1           3           3          36       -52.5161        69.1288
  1           3           3          37       -47.5178        65.2462
  1           3           3          38       -42.5199        60.2407
  1           3           3          39       -37.5225        55.5391
  1           3           3          40        -32.526        50.4287
  1           3           3          41       -27.5307        44.2962
  1           3           3          42       -22.5375        37.7548
  1           3           3          43       -17.5482        31.4178
  1           3           3          44       -12.5674        24.2632
  1           3           3          45       -10.0841        20.3793
  1           3           3          46       -7.61183        16.0127
  1           3           3          47       -5.16624         12.407
  1           3           3          48        -2.8178        8.55755
