     Ensemble #      SOURCE        CHAN         OFFSET        FB_PICK
  1           1           1           1        3.20156        15.2688
  1           1           1           2        5.38516        23.2411
  1           1           1           3        7.76209        31.4178
  1           1           1           4         10.198         37.346
  1           1           1           5         12.659         42.252
  1           1           1           6        17.6139        47.5668
  1           1           1           7        22.5887        52.4729
  1           1           1           8        27.5726        56.1524
  1           1           1           9        32.5615        59.8319
  1           1           1          10        37.5533         63.307
  1           1           1          11         42.547        66.3733
  1           1           1          12        47.5421        70.0528
  1           1           1          13        52.5381        73.3235
  1           1           1          14        57.5348        77.4118
  1           1           1          15         62.532        80.8869
  1           1           1          16        67.5296        84.9753
  1           1           1          17        72.5276        88.4502
  1           1           1          18        77.5258        91.9255
  1           1           1          19        82.5242        94.7873
  1           1           1          20        87.5229        97.0358
  1           1           1          21        90.0222        98.4669
  1           1           1          22        92.5216        99.6934
  1           1           1          23         95.021        100.715
  1           1           1          24        97.5205        103.168
  1           1           1          25         100.02        104.191
  1           1           1          26         102.52        105.621
  1           1           1          27        105.019        107.461
  1           1           1          28        107.519        108.279
  1           1           1          29        110.018         109.71
  1           1           1          30        115.017        112.163
  1           1           1          31        120.017        113.594
  1           1           1          32        125.016        114.616
  1           1           1          33        130.015        115.579
  1           1           1          34        135.015        117.273
  1           1           1          35        140.014        118.704
  1           1           1          36        145.014        119.931
  1           1           1          37        150.013        120.748
  1           1           1          38        155.013        122.179
  1           1           1          39        160.012         123.61
  1           1           1          40        165.012         125.45
  1           1           1          41        170.012        126.268
  1           1           1          42        175.011        127.085
  1           1           1          43        180.011        128.107
  1           1           1          44        185.011        130.152
  1           1           1          45        187.511        130.969
  1           1           1          46        190.011        131.787
  1           1           1          47         192.51        131.991
  1           1           1          48         195.01        131.991

  1           2           2           1       -96.2708        102.146
  1           2           2           2       -93.7713         100.92
  1           2           2           3       -91.2719        99.6932
  1           2           2           4       -88.7725        98.4667
  1           2           2           5       -86.2732        97.2401
  1           2           2           6       -81.2746        94.7871
  1           2           2           7       -76.2762        92.3342
  1           2           2           8       -71.2781        89.8813
  1           2           2           9       -66.2802        86.2018
  1           2           2          10       -61.2826        81.9489
  1           2           2          11       -56.2855        78.3919
  1           2           2          12        -51.289        74.8353
  1           2           2          13       -46.2932        71.2793
  1           2           2          14       -41.2985        67.8042
  1           2           2          15       -36.3051        63.5074
  1           2           2          16       -31.3139        59.2124
  1           2           2          17       -26.3261        54.9203
  1           2           2          18       -21.3439        50.6331
  1           2           2          19       -16.3726        45.7271
  1           2           2          20       -11.4264        38.9813
  1           2           2          21       -8.97566        34.0753
  1           2           2          22        -6.5622        27.1251
  1           2           2          23          -4.25        19.1528
  1           2           2          24        -2.3585        8.74949
  1           2           2          25         2.3585        7.98035
  1           2           2          26           4.25        19.3572
  1           2           2          27         6.5622        29.1692
  1           2           2          28        8.97566        36.1194
  1           2           2          29        11.4264        42.4564
  1           2           2          30        16.3726        51.4508
  1           2           2          31        21.3439        57.5833
  1           2           2          32        26.3261        63.1026
  1           2           2          33        31.3139        68.1411
  1           2           2          34        36.3051        72.3014
  1           2           2          35        41.2985        75.9809
  1           2           2          36        46.2932         79.456
  1           2           2          37         51.289        82.5223
  1           2           2          38        56.2855        86.4062
  1           2           2          39        61.2826        90.2902
  1           2           2          40        66.2802         93.152
  1           2           2          41        71.2781        94.9918
  1           2           2          42        76.2762        96.4227
  1           2           2          43        81.2746        98.8757
  1           2           2          44        86.2732        101.738
  1           2           2          45        88.7725         102.76
  1           2           2          46        91.2719        103.986
  1           2           2          47        93.7713        104.804
  1           2           2          48        96.2708        105.417

  1           3           3           1        -195.01          132.4
  1           3           3           2        -192.51        131.991
  1           3           3           3       -190.011        130.765
  1           3           3           4       -187.511        129.538
  1           3           3           5       -185.011        128.516
  1           3           3           6       -180.011        126.472
  1           3           3           7       -175.011        124.428
  1           3           3           8       -170.012        123.201
  1           3           3           9       -165.012        120.953
  1           3           3          10       -160.012        119.113
  1           3           3          11       -155.013        117.477
  1           3           3          12       -150.013        115.995
  1           3           3          13       -145.014        114.513
  1           3           3          14       -140.014        113.031
  1           3           3          15       -135.015        111.549
  1           3           3          16       -130.015        110.119
  1           3           3          17       -125.016        109.301
  1           3           3          18       -120.017        108.892
  1           3           3          19       -115.017        108.074
  1           3           3          20       -110.018        107.666
  1           3           3          21       -107.519        107.206
  1           3           3          22       -105.019        106.746
  1           3           3          23        -102.52        106.286
  1           3           3          24        -100.02        105.826
  1           3           3          25       -97.5205         106.03
  1           3           3          26        -95.021        105.826
  1           3           3          27       -92.5216        105.417
  1           3           3          28       -90.0222        104.395
  1           3           3          29       -87.5229        103.577
  1           3           3          30       -82.5242        101.738
  1           3           3          31       -77.5258        99.2845
  1           3           3          32       -72.5276         96.218
  1           3           3          33       -67.5296        93.8673
  1           3           3          34        -62.532        91.5167
  1           3           3          35       -57.5348        87.8371
  1           3           3          36       -52.5381        84.5665
  1           3           3          37       -47.5421        81.1412
  1           3           3          38        -42.547        77.7166
  1           3           3          39       -37.5533        74.7544
  1           3           3          40       -32.5615        71.2793
  1           3           3          41       -27.5726        65.1468
  1           3           3          42       -22.5887        60.1336
  1           3           3          43       -17.6139        54.7214
  1           3           3          44        -12.659        46.3403
  1           3           3          45        -10.198        40.4122
  1           3           3          46       -7.76209        32.2355
  1           3           3          47       -5.38516        22.0146
  1           3           3          48       -3.20156        12.8158
