     Ensemble #      SOURCE        CHAN         OFFSET        FB_PICK
  1           1           1           1        2.62488        7.12623
  1           1           1           2        4.34626         14.315
  1           1           1           3        6.23618        21.2718
  1           1           1           4        8.17863        25.9097
  1           1           1           5        10.1435        28.2286
  1           1           1           6        12.1198        29.1562
  1           1           1           7        14.1028        29.9672
  1           1           1           8        16.0901        30.5476
  1           1           1           9        18.0801        31.4752
  1           1           1          10        20.0721        32.4024
  1           1           1          11        22.0656        33.3303
  1           1           1          12        24.0601        34.2579
  1           1           1          13        26.0555        35.4174
  1           1           1          14        28.0516        36.0549
  1           1           1          15        30.0481        36.6925
  1           1           1          16        32.0451        37.3303
  1           1           1          17        34.0425        37.9682
  1           1           1          18        36.0401        38.8958
  1           1           1          19         38.038        39.5914
  1           1           1          20        40.0361        40.2871
  1           1           1          21        42.0344        40.9828
  1           1           1          22        44.0328        41.6386
  1           1           1          23        46.0314        42.3742
  1           1           1          24        48.0301        43.3018
  1           1           1          25        50.0289        44.3066
  1           1           1          26        52.0278        45.3115
  1           1           1          27        54.0268        46.3164
  1           1           1          28        56.0258        47.5668
  1           1           1          29        58.0249        48.1119
  1           1           1          30        60.0241        49.2022
  1           1           1          31        62.0233        50.2243
  1           1           1          32        64.0226        50.9543
  1           1           1          33        66.0219        52.1138
  1           1           1          34        68.0212        52.8095
  1           1           1          35        70.0206         53.737
  1           1           1          36        72.0201        54.6646
  1           1           1          37        74.0195        55.5342
  1           1           1          38         76.019        56.4038
  1           1           1          39        78.0185        57.2734
  1           1           1          40        80.0181         58.143
  1           1           1          41        82.0176        58.8387
  1           1           1          42        84.0172        59.5344
  1           1           1          43        86.0168        60.2301
  1           1           1          44        88.0164        60.9258
  1           1           1          45        90.0161        61.6215
  1           1           1          46        92.0157        62.6263
  1           1           1          47        94.0154        63.2834
  1           1           1          48        96.0151        63.9404
  1           2           2           1       -47.0272        43.7656
  1           2           2           2       -45.0284         42.977
  1           2           2           3       -43.0298        42.1885
  1           2           2           4       -41.0312        41.4001
  1           2           2           5       -39.0328        40.6117
  1           2           2           6       -37.0346        39.8234
  1           2           2           7       -35.0366        39.3596
  1           2           2           8       -33.0388        38.6057
  1           2           2           9       -31.0413         37.852
  1           2           2          10       -29.0441        37.0984
  1           2           2          11       -27.0474        36.3449
  1           2           2          12       -25.0511        35.6493
  1           2           2          13       -23.0556         34.721
  1           2           2          14       -21.0609         33.793
  1           2           2          15       -19.0672        32.8657
  1           2           2          16       -17.0751        31.9389
  1           2           2          17       -15.0851        30.7795
  1           2           2          18       -13.0981        29.6942
  1           2           2          19       -11.1158        28.6115
  1           2           2          20       -9.14112         27.533
  1           2           2          21       -7.18053         25.214
  1           2           2          22       -5.24976        21.7356
  1           2           2          23           -3.4        13.8512
  1           2           2          24        -1.8868        7.12623
  1           2           2          25         1.8868        6.19865
  1           2           2          26            3.4        13.8512
  1           2           2          27        5.24976        20.1123
  1           2           2          28        7.18053        24.7502
  1           2           2          29        9.14112        27.7648
  1           2           2          30        11.1158          29.62
  1           2           2          31        13.0981        30.6233
  1           2           2          32        15.0851        31.3965
  1           2           2          33        17.0751        32.1708
  1           2           2          34        19.0672        32.6346
  1           2           2          35        21.0609        33.5622
  1           2           2          36        23.0556        34.2106
  1           2           2          37        25.0511        34.9991
  1           2           2          38        27.0474        35.7879
  1           2           2          39        29.0441        36.5768
  1           2           2          40        31.0413        37.2725
  1           2           2          41        33.0388        37.9682
  1           2           2          42        35.0366        38.6639
  1           2           2          43        37.0346        39.3596
  1           2           2          44        39.0328        40.1708
  1           2           2          45        41.0312        40.7795
  1           2           2          46        43.0298        41.3884
  1           2           2          47        45.0284        41.9972
  1           2           2          48        47.0272        42.6061
  1           3           3           1       -96.0133         62.549
  1           3           3           2       -94.0136         61.776
  1           3           3           3       -92.0139         61.003
  1           3           3           4       -90.0142        60.2301
  1           3           3           5       -88.0145        59.4571
  1           3           3           6       -86.0149        58.6841
  1           3           3           7       -84.0152        57.9111
  1           3           3           8       -82.0156        56.7517
  1           3           3           9        -80.016        56.0096
  1           3           3          10       -78.0164        55.2675
  1           3           3          11       -76.0168        54.5255
  1           3           3          12       -74.0173        53.7834
  1           3           3          13       -72.0178        52.5776
  1           3           3          14       -70.0183        51.6499
  1           3           3          15       -68.0188        50.7223
  1           3           3          16       -66.0194        49.7947
  1           3           3          17         -64.02        48.8671
  1           3           3          18       -62.0206        47.9396
  1           3           3          19       -60.0213         47.012
  1           3           3          20       -58.0221        46.0845
  1           3           3          21       -56.0229        45.2031
  1           3           3          22       -54.0237        44.4145
  1           3           3          23       -52.0246         43.626
  1           3           3          24       -50.0256        42.8376
  1           3           3          25       -48.0267        42.0491
  1           3           3          26       -46.0278        41.2607
  1           3           3          27       -44.0291        40.4724
  1           3           3          28       -42.0305         39.684
  1           3           3          29        -40.032        38.8958
  1           3           3          30       -38.0337        37.6898
  1           3           3          31       -36.0355        36.8087
  1           3           3          32       -34.0376        35.8812
  1           3           3          33         -32.04        34.9532
  1           3           3          34       -30.0426        34.0254
  1           3           3          35       -28.0457        33.0978
  1           3           3          36       -26.0492        32.1704
  1           3           3          37       -24.0533        31.2433
  1           3           3          38       -22.0581        30.3157
  1           3           3          39       -20.0639         28.846
  1           3           3          40        -18.071        27.3772
  1           3           3          41       -16.0798        25.9097
  1           3           3          42       -14.0911        24.7502
  1           3           3          43       -12.1062        22.8923
  1           3           3          44       -10.1272        21.0399
  1           3           3          45       -8.15843        18.4891
  1           3           3          46       -6.20967        15.7063
  1           3           3          47       -4.30813        9.90896
  1           3           3          48       -2.56125        5.03918
