Name,Ost/O,Nord/N,Höhe/Z
P05-DIS-GPH-0052,502593.876,5703006.578,
P05-DIS-GPH-0050,502309.581,5702805.428,
P05-DIS-GPH-0048,502664.280,5703182.295,
P05-DIS-GPH-0048_001,502664.394,5703182.404,280.834
VRS-1507,502664.275,5703182.480,282.049
P05-DIS-GPH-0048_012,502646.053,5703170.437,281.403
P05-DIS-GPH-0048_024,502626.398,5703157.213,282.276
P05-DIS-GPH-0048_036,502606.699,5703143.829,283.408
P05-DIS-GPH-0048_048,502586.948,5703130.308,284.222
P05-DIS-GPH-0048_060,502567.384,5703116.702,285.168
P05-DIS-GPH-0048_072,502547.724,5703103.426,286.795
P05-DIS-GPH-0048_084,502527.958,5703090.015,287.143
P05-DIS-GPH-0048_096,502508.259,5703076.696,286.023
VRS-1736,502523.455,5703084.885,289.004
P05-DIS-GPH-0048_132,502450.571,5703037.776,274.949
P05-DIS-GPH-0048_144,502431.614,5703024.590,269.240
P05-DIS-GPH-0048_156,502411.514,5703012.002,266.486
P05-DIS-GPH-0048_168,502392.231,5702998.223,264.384
P05-DIS-GPH-0048_180,502372.552,5702985.063,262.017
P05-DIS-GPH-0048_192,502353.096,5702971.704,258.434
P05-DIS-GPH-0048_204,502333.518,5702958.433,255.161
P05-DIS-GPH-0048_216,502314.568,5702944.146,252.639
P05-DIS-GPH-0048_228,502295.992,5702931.230,245.181
P05-DIS-GPH-0048_240,502276.870,5702916.928,243.957
P05-DIS-GPH-0048_252,502258.926,5702901.156,245.833
P05-DIS-GPH-0048_264,502240.210,5702886.664,247.768
P05-DIS-GPH-0048_276,502221.962,5702871.210,250.563
P05-DIS-GPH-0048_288,502203.256,5702856.228,252.126
P05-DIS-GPH-0048_300,502184.807,5702841.113,252.752
P05-DIS-GPH-0048_304,502178.522,5702836.204,252.817
P05-DIS-GPH-0050_001,502309.686,5702804.803,247.866
P05-DIS-GPH-0050_012,502297.577,5702822.727,245.754
P05-DIS-GPH-0050_024,502285.218,5702843.320,246.024
P05-DIS-GPH-0050_036,502274.374,5702864.648,245.969
P05-DIS-GPH-0050_048,502263.607,5702886.028,245.930
P05-DIS-GPH-0050_060,502252.411,5702907.202,245.944
P05-DIS-GPH-0050_072,502241.727,5702928.642,246.199
P05-DIS-GPH-0050_084,502230.891,5702949.932,246.698
P05-DIS-GPH-0050_092,502221.976,5702967.486,246.991
P05-DIS-GPH-0050_92,502221.972,5702967.523,247.005
P05-DIS-GPH-0048_120,502468.091,5703051.612,282.301
P05-DIS-GPH-0052_001,502593.909,5703006.621,281.781
VRS-3467,502656.895,5703197.806,282.099
P05-DIS-GPH-0052_012,502582.056,5703024.914,283.016
P05-DIS-GPH-0052_024,502569.791,5703045.309,284.392
P05-DIS-GPH-0052_036,502557.410,5703065.782,285.686
P05-DIS-GPH-0052_048,502543.111,5703084.777,286.891
P05-DIS-GPH-0052_060,502528.089,5703103.118,287.455
P05-DIS-GPH-0052_072,502515.538,5703123.530,287.552
P05-DIS-GPH-0052_084,502502.561,5703143.634,287.112
P05-DIS-GPH-0052_096,502489.915,5703163.839,286.734
P05-DIS-GPH-0052_102,502483.655,5703174.014,286.775
P05-DIS-GPH-0048_108,502487.938,5703064.493,285.053
VRS-0953,502484.628,5703055.910,286.434
