  Ensemble    #   SOURCE   CHAN     OFFSET    FB_PICK
         1    1        1      1       2.00      7.040
         2    2        1      2       4.00     11.920
         3    3        1      3       6.00     17.020
         4    4        1      4       8.00     22.440
         5    5        1      5      10.00     25.940
         6    6        1      6      12.00     27.240
         7    7        1      7      14.00     29.330
         8    8        1      8      16.00     30.810
         9    9        1      9      18.00     33.450
        10   10        1     10      20.00     34.490
        11   11        1     11      22.00     35.520
        12   12        1     12      24.00     36.560
        13   13        1     13      26.00     36.690
        14   14        1     14      28.00     36.820
        15   15        1     15      30.00     38.370
        16   16        1     16      32.00     39.210
        17   17        1     17      34.00     40.050
        18   18        1     18      36.00     40.900
        19   19        1     19      38.00     42.260
        20   20        1     20      40.00     44.330
        21   21        1     21      42.00     46.260
        22   22        1     22      44.00     46.950
        23   23        1     23      46.00     48.800
        24   24        1     24      48.00     49.350
        25   25        1     25      50.00     51.250
        26   26        1     26      52.00     51.900
        27   27        1     27      54.00     52.860
        28   28        1     28      56.00     52.910
        29   29        1     29      58.00     53.130
        30   30        1     30      60.00     53.650
        31   31        1     31      62.00     53.960
        32   32        1     32      64.00     55.010
        33   33        1     33      66.00     55.420
        34   34        1     34      68.00     56.030
        35   35        1     35      70.00     58.310
        36   36        1     36      72.00     58.570
        37   37        1     37      74.00     61.460
        38   38        1     38      76.00     62.200
        39   39        1     39      78.00     62.800
        40   40        1     40      80.00     63.410
        41   41        1     41      82.00     64.010
        42   42        1     42      84.00     66.340
        43   43        1     43      86.00     67.200
        44   44        1     44      88.00     68.070
        45   45        1     45      90.00     68.930
        46   46        1     46      92.00     71.520
        47   47        1     47      94.00     72.040
        48   48        1     48      96.00     72.560

        49   49        2      1     -47.00     49.410
        50   50        2      2     -45.00     47.620
        51   51        2      3     -43.00     45.870
        52   52        2      4     -41.00     44.060
        53   53        2      5     -39.00     43.120
        54   54        2      6     -37.00     43.030
        55   55        2      7     -35.00     42.390
        56   56        2      8     -33.00     41.770
        57   57        2      9     -31.00     40.960
        58   58        2     10     -29.00     40.960
        59   59        2     11     -27.00     39.640
        60   60        2     12     -25.00     38.360
        61   61        2     13     -23.00     37.020
        62   62        2     14     -21.00     37.060
        63   63        2     15     -19.00     35.960
        64   64        2     16     -17.00     35.000
        65   65        2     17     -15.00     33.370
        66   66        2     18     -13.00     30.990
        67   67        2     19     -11.00     29.420
        68   68        2     20      -9.00     25.680
        69   69        2     21      -7.00     21.700
        70   70        2     22      -5.00     17.130
        71   71        2     23      -3.00     10.850
        72   72        2     24      -1.00      6.780
        73   73        2     25       1.00      7.810
        74   74        2     26       3.00     11.960
        75   75        2     27       5.00     16.620
        76   76        2     28       7.00     20.500
        77   77        2     29       9.00     24.650
        78   78        2     30      11.00     28.270
        79   79        2     31      13.00     31.000
        80   80        2     32      15.00     32.930
        81   81        2     33      17.00     34.230
        82   82        2     34      19.00     35.520
        83   83        2     35      21.00     36.820
        84   84        2     36      23.00     37.540
        85   85        2     37      25.00     38.270
        86   86        2     38      27.00     38.990
        87   87        2     39      29.00     39.720
        88   88        2     40      31.00     40.440
        89   89        2     41      33.00     41.310
        90   90        2     42      35.00     42.770
        91   91        2     43      37.00     43.680
        92   92        2     44      39.00     44.590
        93   93        2     45      41.00     44.910
        94   94        2     46      43.00     45.230
        95   95        2     47      45.00     45.560
        96   96        2     48      47.00     45.880

        97   97        3      1     -96.00     71.260
        98   98        3      2     -94.00     71.520
        99   99        3      3     -92.00     70.640
       100  100        3      4     -90.00     69.760
       101  101        3      5     -88.00     68.880
       102  102        3      6     -86.00     68.000
       103  103        3      7     -84.00     67.120
       104  104        3      8     -82.00     65.800
       105  105        3      9     -80.00     64.480
       106  106        3     10     -78.00     63.160
       107  107        3     11     -76.00     61.840
       108  108        3     12     -74.00     60.520
       109  109        3     13     -72.00     59.210
       110  110        3     14     -70.00     57.890
       111  111        3     15     -68.00     56.570
       112  112        3     16     -66.00     55.250
       113  113        3     17     -64.00     53.930
       114  114        3     18     -62.00     52.610
       115  115        3     19     -60.00     51.970
       116  116        3     20     -58.00     51.320
       117  117        3     21     -56.00     50.670
       118  118        3     22     -54.00     50.020
       119  119        3     23     -52.00     49.380
       120  120        3     24     -50.00     48.730
       121  121        3     25     -48.00     47.490
       122  122        3     26     -46.00     46.240
       123  123        3     27     -44.00     45.000
       124  124        3     28     -42.00     43.760
       125  125        3     29     -40.00     42.510
       126  126        3     30     -38.00     41.740
       127  127        3     31     -36.00     40.960
       128  128        3     32     -34.00     40.180
       129  129        3     33     -32.00     39.410
       130  130        3     34     -30.00     38.630
       131  131        3     35     -28.00     37.650
       132  132        3     36     -26.00     36.660
       133  133        3     37     -24.00     35.680
       134  134        3     38     -22.00     34.690
       135  135        3     39     -20.00     33.710
       136  136        3     40     -18.00     30.770
       137  137        3     41     -16.00     27.840
       138  138        3     42     -14.00     24.900
       139  139        3     43     -12.00     22.060
       140  140        3     44     -10.00     19.210
       141  141        3     45      -8.00     16.360
       142  142        3     46      -6.00     13.770
       143  143        3     47      -4.00     11.180
       144  144        3     48      -2.00      7.290
