  Ensemble    #   SOURCE   CHAN     OFFSET    FB_PICK
         1    1        1      1       2.00      4.820
         2    2        1      2       4.00      8.060
         3    3        1      3       6.00     14.530
         4    4        1      4       8.00     20.790
         5    5        1      5      10.00     26.400
         6    6        1      6      12.00     34.390
         7    7        1      7      14.00     40.430
         8    8        1      8      16.00     47.770
         9    9        1      9      18.00     49.920
        10   10        1     10      20.00     51.870
        11   11        1     11      22.00     52.940
        12   12        1     12      24.00     54.020
        13   13        1     13      26.00     55.750
        14   14        1     14      28.00     57.690
        15   15        1     15      30.00     58.720
        16   16        1     16      32.00     59.640
        17   17        1     17      34.00     61.280
        18   18        1     18      36.00     62.180
        19   19        1     19      38.00     62.820
        20   20        1     20      40.00     64.360
        21   21        1     21      42.00     65.910
        22   22        1     22      44.00     66.970
        23   23        1     23      46.00     67.210
        24   24        1     24      48.00     67.750
        25   25        1     25      50.00     68.990
        26   26        1     26      52.00     69.990
        27   27        1     27      54.00     70.760
        28   28        1     28      56.00     71.310
        29   29        1     29      58.00     72.480
        30   30        1     30      60.00     73.610
        31   31        1     31      62.00     73.880
        32   32        1     32      64.00     75.310
        33   33        1     33      66.00     75.420
        34   34        1     34      68.00     76.410
        35   35        1     35      70.00     77.440
        36   36        1     36      72.00     77.690
        37   37        1     37      74.00     79.290
        38   38        1     38      76.00     79.490
        39   39        1     39      78.00     80.660
        40   40        1     40      80.00     81.150
        41   41        1     41      82.00     81.890
        42   42        1     42      84.00     82.900
        43   43        1     43      86.00     84.360
        44   44        1     44      88.00     87.040
        45   45        1     45      90.00     87.140
        46   46        1     46      92.00     88.210
        47   47        1     47      94.00     89.230
        48   48        1     48      96.00     91.280

        49   49        2      1     -47.00     68.160
        50   50        2      2     -45.00     66.380
        51   51        2      3     -43.00     65.430
        52   52        2      4     -41.00     63.960
        53   53        2      5     -39.00     62.010
        54   54        2      6     -37.00     60.960
        55   55        2      7     -35.00     59.190
        56   56        2      8     -33.00     57.540
        57   57        2      9     -31.00     56.150
        58   58        2     10     -29.00     53.810
        59   59        2     11     -27.00     52.700
        60   60        2     12     -25.00     50.800
        61   61        2     13     -23.00     49.210
        62   62        2     14     -21.00     48.210
        63   63        2     15     -19.00     46.250
        64   64        2     16     -17.00     44.310
        65   65        2     17     -15.00     42.590
        66   66        2     18     -13.00     40.000
        67   67        2     19     -11.00     34.170
        68   68        2     20      -9.00     28.770
        69   69        2     21      -7.00     21.440
        70   70        2     22      -5.00     14.750
        71   71        2     23      -3.00      9.780
        72   72        2     24      -1.00      6.330
        73   73        2     25       1.00      6.550
        74   74        2     26       3.00      9.350
        75   75        2     27       5.00     14.310
        76   76        2     28       7.00     20.570
        77   77        2     29       9.00     27.480
        78   78        2     30      11.00     30.070
        79   79        2     31      13.00     31.800
        80   80        2     32      15.00     34.170
        81   81        2     33      17.00     36.110
        82   82        2     34      19.00     38.050
        83   83        2     35      21.00     40.000
        84   84        2     36      23.00     41.940
        85   85        2     37      25.00     43.880
        86   86        2     38      27.00     45.820
        87   87        2     39      29.00     47.120
        88   88        2     40      31.00     48.200
        89   89        2     41      33.00     49.440
        90   90        2     42      35.00     50.770
        91   91        2     43      37.00     52.310
        92   92        2     44      39.00     53.590
        93   93        2     45      41.00     55.380
        94   94        2     46      43.00     56.760
        95   95        2     47      45.00     57.690
        96   96        2     48      47.00     59.490

        97   97        3      1     -96.00     93.750
        98   98        3      2     -94.00     92.930
        99   99        3      3     -92.00     92.100
       100  100        3      4     -90.00     91.280
       101  101        3      5     -88.00     90.450
       102  102        3      6     -86.00     89.630
       103  103        3      7     -84.00     88.270
       104  104        3      8     -82.00     86.910
       105  105        3      9     -80.00     85.550
       106  106        3     10     -78.00     84.200
       107  107        3     11     -76.00     82.840
       108  108        3     12     -74.00     81.480
       109  109        3     13     -72.00     80.120
       110  110        3     14     -70.00     78.660
       111  111        3     15     -68.00     77.200
       112  112        3     16     -66.00     75.750
       113  113        3     17     -64.00     74.290
       114  114        3     18     -62.00     72.830
       115  115        3     19     -60.00     71.370
       116  116        3     20     -58.00     69.920
       117  117        3     21     -56.00     68.460
       118  118        3     22     -54.00     67.000
       119  119        3     23     -52.00     65.340
       120  120        3     24     -50.00     64.370
       121  121        3     25     -48.00     62.590
       122  122        3     26     -46.00     61.360
       123  123        3     27     -44.00     59.180
       124  124        3     28     -42.00     58.330
       125  125        3     29     -40.00     56.550
       126  126        3     30     -38.00     55.750
       127  127        3     31     -36.00     53.850
       128  128        3     32     -34.00     52.560
       129  129        3     33     -32.00     50.570
       130  130        3     34     -30.00     48.410
       131  131        3     35     -28.00     47.780
       132  132        3     36     -26.00     46.670
       133  133        3     37     -24.00     45.610
       134  134        3     38     -22.00     44.360
       135  135        3     39     -20.00     42.820
       136  136        3     40     -18.00     41.680
       137  137        3     41     -16.00     40.510
       138  138        3     42     -14.00     39.490
       139  139        3     43     -12.00     37.950
       140  140        3     44     -10.00     32.660
       141  141        3     45      -8.00     27.260
       142  142        3     46      -6.00     20.250
       143  143        3     47      -4.00     13.240
       144  144        3     48      -2.00      9.350
